序号,标题,时长
309,9.4 例文解析 7,15 分 14 秒
310,9.4 例文解析 8,41 分 36 秒
311,9.4 例文解析 9,28 分 53 秒
312,9.4 例文解析 10,19 分 16 秒
313,9.4 例文解析 11,22 分 5 秒
314,9.4 例文解析 12,19 分 54 秒
315,9.4 例文解析 13,25 分 16 秒
316,10.1 网络部分考情分析,7 分 29 秒
317,10.2.1 计算机网络分类,5 分 8 秒
318,10.2.2OSI 参考模型,16 分 1 秒
319,10.2.3 数据通信的计算,12 分 59 秒
320,10.2.4 奈奎斯特取样定理,4 分 35 秒
321,10.3.1TCPIP 协议族 - 概述,3 分 23 秒
322,10.3.2TCPIP 协议族 - IP 协议,3 分 42 秒
323,10.3.3TCPIP 协议族 - ARP 和 RARP 协议,7 分 11 秒
324,10.3.4TCPIP 协议族 - TCP 和 UDP 协议,7 分 16 秒
325,10.3.5TCPIP 协议族 - ICMP 协议,2 分 21 秒
326,10.4.1 交换机工作原理简介,6 分 41 秒
327,10.4.2 路由器工作原理简介,5 分 2 秒
328,10.4.3IP 地址,7 分 14 秒
329,10.5.1 网络服务 - HTTP,5 分 34 秒
330,10.5.2 网络服务 - DNS,3 分 29 秒
331,10.5.3 网络服务 - Telnet,53 秒
332,10.5.4 网络服务 - 电子邮件服务,1 分 16 秒
333,10.5.5 网络服务 - WWW 服务,5 分 7 秒
334,10.5.6 网络服务 - FTP,2 分 22 秒
335,10.5.7 网络服务 - DHCP,6 分 20 秒
336,10.6 历年试题讲解 - 选择,11 分 1 秒
337,10.6 历年试题讲解 - 选择 2,7 分 33 秒
338,10.8 信息安全部分考情分析,3 分 14 秒
339,10.9 信息安全综述,8 分 49 秒
340,10.9 信息安全综述 2,20 分 20 秒
341,10.10.1 数据加密及认证 - 对称加密,4 分
342,10.10.2 数据加密及认证 - 非对称加密,2 分 35 秒
343,10.10.3 数据加密及认证 - 摘要算法,2 分 27 秒
344,10.10.4 数据加密及认证 - 认证技术,8 分 7 秒
345,10.11 网络安全协议,5 分 57 秒
346,10.11 网络安全协议 2,3 分 46 秒
347,10.12.1 网络安全设备 - 防火墙,8 分 38 秒
348,10.12.2 网络安全设备 - 入侵检测系统,2 分 37 秒
349,10.12.3 网络安全设备 - 入侵防御系统,1 分 15 秒
350,10.12.4 网络安全设备 - WEB 应用防火墙,1 分 28 秒
351,10.13.1 拒绝服务,7 分 36 秒
352,10.13.2 欺骗,5 分 55 秒
353,10.13.3sql 注入与 xss,7 分 27 秒
354,10.14 历年试题讲解 - 选择,12 分 2 秒
355,10.14 历年试题讲解 - 选择 2,4 分 35 秒
356,11.1 信息系统综合考情分析,3 分 58 秒
357,11.2.1 系统工程 - 概述,3 分 41 秒
358,11.2.2 系统工程 - 系统工程方法,5 分 7 秒
359,11.2.3 系统工程 - 系统工程生命周期,6 分 32 秒
360,11.3.1 信息系统综述 - 基本概念,6 分 23 秒
361,11.3.2 信息系统综述 - 总体框架,5 分 48 秒
362,11.3.3 信息系统综述 - 企业信息化,6 分 51 秒
363,11.3.4 信息系统综述 - 常见企业信息系统,21 分 12 秒
364,11.4.1 信息化总体架构方法 - 基本概念,8 分 15 秒
365,11.4.2 信息化总体架构方法 - 方法论,3 分 57 秒
366,11.5 历年试题讲解 - 选择,8 分 30 秒
367,12.1 计算机体系结构考情分析,2 分 46 秒
368,12.2CPU 的组成,6 分 33 秒
369,12.3.1 数据的表示 - 原码、反码、补码,5 分 13 秒
370,12.3.2 数据的表示 - 定点数与浮点数,9 分 15 秒
371,12.4.1 校验码 - 码距,4 分 45 秒
372,12.4.2 校验码 - 奇偶校验,1 分 32 秒
373,12.4.3 校验码 - 海明码,10 分 41 秒
374,12.4.4 校验码 - 循环冗余校验码,3 分 53 秒
375,12.5CISC 与 RISC,4 分 52 秒
376,12.6 流水线技术,17 分 18 秒
377,12.7.1 存储系统 - 层次结构,3 分 16 秒
378,12.7.2 存储系统 - 存储器分类,4 分 17 秒
379,12.7.3 存储系统 - 高速缓存,11 分 24 秒
380,12.7.4 存储系统 - 硬盘知识,7 分 39 秒
381,12.8.1IO 技术 - 中断方式,5 分 43 秒
382,12.8.2IO 技术 - DMA 方式,3 分 45 秒
383,12.9 总线系统,4 分 13 秒
384,12.10.1 计算机性能指标,2 分 37 秒
385,12.10.2 计算机性能计算,8 分 25 秒
386,12.10.3 计算机性能设计,2 分 46 秒
387,12.10.4 计算机性能评估方法,6 分 42 秒
388,12.11 历年试题讲解 - 选择,7 分 3 秒
389,13.1 操作系统考情分析,4 分 51 秒
390,13.2.1 进程管理 - 基本概念,9 分 16 秒
391,13.2.2 进程通信 - 引子,4 分 42 秒
392,13.2.2 进程通信 - PV 操作,16 分 50 秒
393,13.2.2 进程通信 - 前趋图,8 分 31 秒
394,13.2.3 进程管理 - 进程的调度,10 分 4 秒
395,13.2.4 进程管理 - 死锁,10 分 3 秒
396,13.2.5 进程管理 - 线程,4 分 9 秒
397,13.3.1 存储管理 - 基本概念,13 分 48 秒
398,13.3.2 存储管理 - 分页存储方式,16 分 47 秒
399,13.3.3 存储管理 - 分段存储方式,23 分 45 秒
400,13.3.4 存储管理 - 段页存储方式,7 分 39 秒
401,13.3.5 存储管理 - 页面置换算法,20 分 13 秒
402,13.4.1 设备管理 - 缓冲技术,13 分 54 秒
403,13.4.2 磁盘管理 - 移臂调度算法,13 分 40 秒
404,13.4.2 磁盘管理 - 旋转调度算法,18 分 59 秒
405,13.5.1 文件管理 - 文件索引结构,11 分 3 秒
406,13.5.2 文件管理 - 文件目录结构,2 分 3 秒
407,13.5.3 文件管理 - 位示图,7 分 28 秒
408,13.6 历年试题讲解 - 选择,22 分 37 秒
409,13.6 历年试题讲解 - 选择 2,7 分 27 秒
410,14.1 法律法规考情分析,2 分 50 秒
411,14.2 著作权法,9 分 3 秒
412,14.3 软件著作权,3 分 51 秒
413,14.4zhuan 利权和商标权,6 分 9 秒
414,14.5 历年试题讲解 - 选择,12 分 21 秒
415,14.5 历年试题讲解 - 选择 2,2 分 59 秒
416,15.1 考情分析,3 分 28 秒
417,15.2 进度管理,17 分 16 秒
418,15.3 最优化,12 分 23 秒
419,15.4 其它,17 分 11 秒
